id,generico_non_terrestre,generico_terrestre,inventato,no_ambientazione,nominato_non_terrestre,nominato_terrestre,pct_nebbia_normalizzata,pct_cancellazione_normalizzata,pct_nebbia,pct_cancellazione,norma_pct_caratteri_nebbia_cancellazione
S149,0.00,0.83,0.00,0.00,0.00,0.17,0,0,0,0,0
S150,0.00,1.00,0.00,0.00,0.00,0.00,0.1648510434,0.07853672658,75,25,0.214191072495611
S151,0.00,0.67,0.00,0.00,0.00,0.33,0.2528341604,0.06304691238,83.33333333,16.66666667,0.271101723245128
S152,0.00,1.00,0.00,0.00,0.00,0.00,0,0.03831105669,0,100,0.038311056690718
S153,1.00,0.00,0.00,0.00,0.00,0.00,0,0.2014569156,0,100,0.201456915636709
S154,0.00,0.50,0.00,0.00,0.00,0.50,,,,,
S155,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S156,0.00,0.75,0.00,0.00,0.00,0.25,0,0,0,0,0
S157,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0
S158,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S159,0.00,0.50,0.00,0.00,0.00,0.50,0,0.1864993918,0,100,0.186499391777154
S160,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0
S161,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0
S162,0.00,1.00,0.00,0.00,0.00,0.00,0.09792398153,0,100,0,0.080580707210166
S163,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0
S164,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S165,0.00,0.67,0.00,0.00,0.00,0.33,0,0.5270064434,0,100,0.52700644341194
S166,0.00,0.50,0.00,0.00,0.00,0.50,0.2321700085,0,100,0,0.191050478031728
S167,0.00,1.00,0.00,0.00,0.00,0.00,0.1987440405,0.1869080787,50,50,0.350452647508192
S168,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0
S169,0.00,1.00,0.00,0.00,0.00,0.00,0.1754740358,0,100,0,0.144395904641806
S170,0.00,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0
S171,0.00,0.67,0.00,0.00,0.00,0.33,0.06530458528,0.04606158705,66.66666667,33.33333333,0.099800105274962
S172,0.00,1.00,0.00,0.00,0.00,0.00,0.2611102841,0,100,0,0.214865153802213
S173,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,
S174,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0
S175,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S176,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S177,0.00,0.00,0.00,1.00,0.00,0.00,0,0.5684070564,0,100,0.568407056403073
S178,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S179,0.00,0.40,0.20,0.00,0.20,0.20,0,0,0,0,0
S180,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0
S181,0.00,0.75,0.00,0.00,0.00,0.25,0,0.1589435105,0,100,0.158943510504971
S182,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S183,0.00,1.00,0.00,0.00,0.00,0.00,0,0.1660734232,0,100,0.166073423178731
S184,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S185,0.00,0.43,0.00,0.00,0.00,0.57,0.03718925707,0.03825335465,50,50,0.068856038370678
S186,0.00,0.00,0.00,1.00,0.00,0.00,0,0,0,0,0
S187,0.00,0.67,0.33,0.00,0.00,0.00,0,0,0,0,0
S188,0.00,0.00,0.00,1.00,0.00,0.00,0.07721847554,0,100,0,0.063542344496818
S189,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S190,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S191,0.00,1.00,0.00,0.00,0.00,0.00,0,0.5492812164,0,100,0.549281216449788
S192,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S193,0.00,1.00,0.00,0.00,0.00,0.00,0,0.2259677957,0,100,0.225967795742122
S194,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S195,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
S196,0.00,0.67,0.00,0.00,0.00,0.33,0,0,0,0,0
S197,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S198,0.00,0.33,0.00,0.00,0.00,0.67,0,0,0,0,0
S199,0.00,0.00,0.00,1.00,0.00,0.00,0,0.230661685,0,100,0.230661685004173
S200,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S201,0.00,1.00,0.00,0.00,0.00,0.00,0,0.1357119551,0,100,0.13571195513188
S202,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S203,0.29,0.71,0.00,0.00,0.00,0.00,0.1158110455,0,0,100,0.095299800991363
S204,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S205,1.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
S206,1.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
V001,0.00,0.96,0.00,0.00,0.00,0.04,0.07668141209,0.03155020006,76.19047619,23.80952381,0.094650600190197
V003,0.00,0.75,0.21,0.00,0.00,0.04,0,0,0,0,0
V005,0.00,0.89,0.10,0.00,0.00,0.01,0,0.01248386767,0,100,0.012483867671605
V008,0.00,0.83,0.03,0.00,0.00,0.14,0,0.007993203554,0,100,0.00799320355399
V009,0.00,0.71,0.00,0.00,0.00,0.29,0.01895202892,0.02859164589,50,50,0.044187089110024
V010,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0
V016,0.00,1.00,0.00,0.00,0.00,0.00,0,0,0,0,0
V018,0.00,0.02,0.93,0.00,0.00,0.05,0.05615150011,0.08381649997,42.85714286,57.14285714,0.13002303201714
V020,0.00,0.50,0.00,0.00,0.00,0.50,0,0,0,0,0
V021,0.00,0.75,0.21,0.00,0.00,0.04,0.03302779434,0.1080249663,27.27272727,72.72727273,0.13520322221183
